Anmerkung,Category,Danger,Effect,HP_01,HP_02,HP_03,HP_04,HP_05,HP_06,HP_07,Short,Spell,Type,Unforgivable,overall
 , ,,Hides a secret within someone,,,2,,,,7,Fidelius,Fidelius,Charm,False,9
 , ,,"Difficult to control, large fire curse – Dark Magic",,,,,,,2,Fiendfyre,Fiendfyre,Curse,False,2
 and Finite Incantatum (Stops any current spells), ,,Finishes spells in the casters area,,1,,,,,2,Finite,Finite,Spell,False,3
 , ,,Multiplies and burns objects upon touch,,,,,,,1,Flagrante,Flagrante,Curse,False,1
 , ,,Produces boils on opponent,,,,1,,,,Furnunculus,Furnunculus,Curse,False,1
 , ,,Duplicates an Object,,,,,,,1,Geminio,Geminio,Spell,False,1
 , ,,Turns stairs into ramps,,,,,,,1,Glisseo,Glisseo,Spell,False,1
 , ,,Reveals humans nearby,,,,,,,2,Homenum,Homenum Revelio,Spell,False,2
 , ,,Lockhart’s Werewolf “cure”,,1,,,,,,Homorphus,Homorphus,Charm,False,1
 , ,,Slows an advancing object,,,,4,,3,1,Impedimenta,Impedimenta,Charm,False,8
 , ,,Controls a person – Unforgivable,,,,1,,,4,Imperio,Imperio,Curse,False,5
 , ,,Makes an object repel water,,,1,,1,,2,Impervius,Impervius,Charm,False,4
 , ,,Ties someone up,,,,,,1,,Incarcerous,Incarcerous,Spell,False,1
 , ,,Starts a fire,,,,1,,2,,Incendio,Incendio,Spell,False,3
 , ,,Glues opponent’s tongue to roof of mouth,,,,,,1,,Langlock,Langlock,Spell,False,1
 , ,,Allows the caster to read minds of victims,,,,,4,1,,Legilimens,Legilimens,Spell,False,5
 , ,,Hangs victim upside down by feet,,,,,,4,,Levicorpus,Levicorpus,Spell,False,4
 , ,,Counterspell to Liberacorpus,,,,,,1,,Liberacorpus,Liberacorpus,Spell,False,1
 , ,,Locks opponents legs,1,,,,1,,,Locomotor,Locomotor Mortis,Curse,False,2
and Lumos Maxima (Creates a Ball of Light that can brighten a room for a long period time), ,,Creates light at wand tip,,2,4,4,1,3,5,Lumos,Lumos,Spell,False,19
 , ,,Moves objects with wand,,,1,,,,,Mobiliarbus,Mobiliarbus,Charm,False,1
 , ,,Moves unconscious bodies,,,1,,,,,Mobilicorpus,Mobilicorpus,Spell,False,1
 , ,,Prevents nearby people from listening to conversations,,,,,,6,5,Muffliato,Muffliato,Spell,False,11
 , ,,Counter to Lumos – turns off lights,,,1,,,,1,Nox,Nox,Spell,False,2
 , ,,Erases memories,,1,,1,,,1,Obliviate,Obliviate,Charm,False,3
 , ,,Makes conjured items attack,,,,,,1,,Oppugno,Oppugno,Spell,False,1
 , ,,Conjures a bunch of flowers,,,,1,,,,Orchideous,Orchideous,Spell,False,1
 , ,,Removes Pixies (maybe),,1,,,,,,Peskipiksi,Peskipiksi Pesternomi,Spell,False,1
 , ,,Body – Bind,1,,,,,5,1,Petrificus,Petrificus Totalus,Spell,False,7
 , ,,Animates statues and armor suits,,,,,,,1,Piertotum,Piertotum Locomotor,Spell,False,1
 , ,,"Result when brother wands duel, the loser’s wand shows all spells it recently cast",,,,2,,,1,Priori,Priori Incantatem,Spell,False,3
 , ,,Reveals a wands last spell / cast,,,,2,2,,,Prior,Prior Incantato,Spell,False,4
 and Protego Maxima (Protects one from Dark Magic) and Protego Totalem (Area Protection Spell), ,,Cause spells to reflect back to the sender.,,,,,,1,6,Protego,Protego,Charm,False,7
 , ,,Returns items to original size. Counters Engorgio,,,,2,,,,Reducio,Reducio,Spell,False,2
 , ,,Blasts solid objects aside,,,,,,2,,Reducto,Reducto,Spell,False,2
 , ,,Releases user from binding,,,,1,,,3,Relashio,Relashio,Spell,False,4
 , ,,Cures unconsciousness,,,,,,2,,Rennervate,Rennervate,Spell,False,2
 , ,,Repairs Things,,,,1,,3,1,Reparo,Reparo,Spell,False,5
 , ,,Keeps Muggles away,,,,,,,1,Repello,Repello Muggletum,Charm,False,1
 , ,,Reveals Hidden objects,,,,,,2,1,Revelio,Revelio,Spell,False,3
 , ,,Tickles opponent,,1,,,,,,Rictusempra,Rictusempra,Charm,False,1
 , ,,Use this spell and laugh to defeat a boggart,,,9,1,4,,,Riddikulus,Riddikulus,Spell,False,14
 , ,,Protection against hexes,,,,,,,1,Salvio,Salvio Hexia,Spell,False,1
 , ,,"Causes wounds, as if slashed by a sword",,,,,,6,2,Sectumsempra,Sectumsempra,Spell,False,8
 , ,,Produces Snake,,1,,,,,,Serpensortia,Serpensortia,Spell,False,1
 , ,,Silences victim,,,,,3,,,Silencio,Silencio,Spell,False,3
 , ,,Amplifies voice,,,,3,,,,Sonorus,Sonorus,Spell,False,3
 , ,,Reveals Hidden secrets or magical properties,,,,,,1,,Specialis,Specialis Revelio,Spell,False,1
 , ,,Knocks out opponent,,,,10,1,1,9,Stupefy,Stupefy,Spell,False,21
 , ,,Forces opponent to dance,,1,,,,,,Tarantallegra,Tarantallegra,Spell,False,1
 , ,,Cleans up messes,,,,,,1,1,Tergeo,Tergeo,Spell,False,2
 , ,,Unsticks an object,,,1,,,,,Waddiwasi,Waddiwasi,Spell,False,1
 , ,,Makes on object fly,3,,,,1,,1,Wingardium,Wingardium Leviosa,Charm,False,5
